Date,open,high,low,close,volume,dividends,stock splits
2022-03-09 00:00:00-05:00,1199.5,1199.5,1199.5,1199.5,5,0.0,0.0
2022-03-10 00:00:00-05:00,1073.75,1073.75,1073.75,1073.75,6,0.0,0.0
2022-03-11 00:00:00-05:00,1035.75,1090.0,1030.75,1090.0,10,0.0,0.0
2022-03-14 00:00:00-04:00,1090.0,1090.0,1090.0,1090.0,38656,0.0,0.0
2022-03-15 00:00:00-04:00,1106.0,1160.75,1088.25,1154.25,30964,0.0,0.0
2022-03-16 00:00:00-04:00,1157.25,1159.5,1069.25,1069.25,37914,0.0,0.0
2022-03-17 00:00:00-04:00,1051.0,1108.25,1031.75,1098.0,31158,0.0,0.0
2022-03-18 00:00:00-04:00,1095.0,1106.0,1055.75,1063.75,19393,0.0,0.0
2022-03-21 00:00:00-04:00,1075.0,1148.75,1061.75,1119.25,37035,0.0,0.0
2022-03-22 00:00:00-04:00,1119.25,1169.25,1102.25,1118.25,29006,0.0,0.0
2022-03-23 00:00:00-04:00,1119.25,1139.0,1101.0,1105.75,24464,0.0,0.0
2022-03-24 00:00:00-04:00,1105.75,1115.0,1080.5,1085.75,22420,0.0,0.0
2022-03-25 00:00:00-04:00,1089.5,1109.0,1064.75,1102.25,27912,0.0,0.0
2022-03-28 00:00:00-04:00,1092.75,1096.0,1047.0,1057.0,26162,0.0,0.0
2022-03-29 00:00:00-04:00,1047.0,1068.25,972.0,1014.25,45986,0.0,0.0
2022-03-30 00:00:00-04:00,1015.0,1041.75,1002.25,1027.25,26336,0.0,0.0
2022-03-31 00:00:00-04:00,1030.25,1075.0,1003.5,1006.0,36848,0.0,0.0
2022-04-01 00:00:00-04:00,1007.25,1032.75,982.5,984.5,33853,0.0,0.0
2022-04-04 00:00:00-04:00,989.5,1014.5,984.75,1010.25,26349,0.0,0.0
2022-04-05 00:00:00-04:00,1020.5,1074.0,1020.0,1045.25,26923,0.0,0.0
2022-04-06 00:00:00-04:00,1049.5,1056.25,1023.5,1038.25,27905,0.0,0.0
2022-04-07 00:00:00-04:00,1040.25,1044.5,1017.75,1020.0,50501,0.0,0.0
2022-04-08 00:00:00-04:00,1020.0,1054.25,1017.0,1051.5,47599,0.0,0.0
2022-04-11 00:00:00-04:00,1056.0,1091.75,1055.0,1081.25,55247,0.0,0.0
2022-04-12 00:00:00-04:00,1077.75,1117.5,1075.0,1103.75,50433,0.0,0.0
2022-04-13 00:00:00-04:00,1102.5,1124.25,1078.0,1113.5,53460,0.0,0.0
2022-04-14 00:00:00-04:00,1113.0,1127.5,1094.25,1096.5,20653,0.0,0.0
2022-04-18 00:00:00-04:00,1099.25,1134.75,1098.25,1120.5,13169,0.0,0.0
2022-04-19 00:00:00-04:00,1123.25,1135.0,1096.0,1099.0,18099,0.0,0.0
2022-04-20 00:00:00-04:00,1094.75,1109.75,1066.75,1088.0,15110,0.0,0.0
2022-04-21 00:00:00-04:00,1094.25,1094.25,1052.5,1068.0,11174,0.0,0.0
2022-04-22 00:00:00-04:00,1070.0,1076.0,1052.5,1065.5,15258,0.0,0.0
2022-04-25 00:00:00-04:00,1065.75,1080.0,1045.75,1062.0,12075,0.0,0.0
2022-04-26 00:00:00-04:00,1069.75,1096.0,1066.75,1083.25,9543,0.0,0.0
2022-04-27 00:00:00-04:00,1081.25,1087.0,1067.75,1080.0,7092,0.0,0.0
2022-04-28 00:00:00-04:00,1082.5,1094.0,1070.0,1074.0,6965,0.0,0.0
2022-04-29 00:00:00-04:00,1071.25,1085.0,1043.75,1043.75,577,0.0,0.0
2022-05-02 00:00:00-04:00,1037.5,1050.25,1029.25,1043.5,341,0.0,0.0
2022-05-03 00:00:00-04:00,1045.0,1056.0,1033.75,1033.75,177,0.0,0.0
2022-05-04 00:00:00-04:00,1042.25,1069.75,1042.25,1066.0,288,0.0,0.0
2022-05-05 00:00:00-04:00,1084.5,1096.0,1084.5,1096.0,184,0.0,0.0
2022-05-06 00:00:00-04:00,1098.5,1098.5,1097.0,1097.0,68,0.0,0.0
2022-05-09 00:00:00-04:00,1084.0,1086.0,1081.5,1083.25,92,0.0,0.0
2022-05-10 00:00:00-04:00,1096.75,1098.5,1083.25,1083.25,42,0.0,0.0
2022-05-11 00:00:00-04:00,1109.25,1115.0,1100.0,1108.75,53,0.0,0.0
2022-05-12 00:00:00-04:00,1107.75,1174.5,1103.25,1174.5,157,0.0,0.0
2022-05-13 00:00:00-04:00,1167.25,1167.25,1167.25,1167.25,35248,0.0,0.0
2022-05-16 00:00:00-04:00,1234.25,1247.5,1222.25,1247.5,53773,0.0,0.0
